,new_covered,time,cls_distrib
0,3146,3.652040481567383,0.02657601977750309
1,3222,2.481555223464966,0.06740196078431372
2,531,0.9716074466705322,0.08174386920980926
3,595,0.7519445419311523,0.07509881422924901
4,427,0.37250256538391113,0.0
5,0,0.006824970245361328,0.0
6,0,0.0067937374114990234,0.0
7,0,0.007008790969848633,0.0
8,0,0.0069086551666259766,0.0
9,0,0.006701231002807617,0.0
10,0,0.006796121597290039,0.0
11,0,0.006969928741455078,0.0
12,0,0.006947040557861328,0.0
13,0,0.006764411926269531,0.0
14,0,0.00690007209777832,0.0
